[0.000000] (-) TimerEvent: {}
[0.000593] (assignment_groups_mip) JobQueued: {'identifier': 'assignment_groups_mip', 'dependencies': OrderedDict()}
[0.000614] (assignment_groups_sat) JobQueued: {'identifier': 'assignment_groups_sat', 'dependencies': OrderedDict()}
[0.000626] (assignment_linear_sum_assignment) JobQueued: {'identifier': 'assignment_linear_sum_assignment', 'dependencies': OrderedDict()}
[0.000634] (assignment_min_flow) JobQueued: {'identifier': 'assignment_min_flow', 'dependencies': OrderedDict()}
[0.000641] (assignment_mip) JobQueued: {'identifier': 'assignment_mip', 'dependencies': OrderedDict()}
[0.000647] (assignment_sat) JobQueued: {'identifier': 'assignment_sat', 'dependencies': OrderedDict()}
[0.000653] (assignment_task_sizes_mip) JobQueued: {'identifier': 'assignment_task_sizes_mip', 'dependencies': OrderedDict()}
[0.000659] (assignment_task_sizes_sat) JobQueued: {'identifier': 'assignment_task_sizes_sat', 'dependencies': OrderedDict()}
[0.000664] (assignment_teams_mip) JobQueued: {'identifier': 'assignment_teams_mip', 'dependencies': OrderedDict()}
[0.000669] (assignment_teams_sat) JobQueued: {'identifier': 'assignment_teams_sat', 'dependencies': OrderedDict()}
[0.000675] (assumptions_sample_sat) JobQueued: {'identifier': 'assumptions_sample_sat', 'dependencies': OrderedDict()}
[0.000681] (balance_min_flow) JobQueued: {'identifier': 'balance_min_flow', 'dependencies': OrderedDict()}
[0.000687] (basic_example) JobQueued: {'identifier': 'basic_example', 'dependencies': OrderedDict()}
[0.000693] (bfs_directed) JobQueued: {'identifier': 'bfs_directed', 'dependencies': OrderedDict()}
[0.000699] (bfs_one_to_all) JobQueued: {'identifier': 'bfs_one_to_all', 'dependencies': OrderedDict()}
[0.000796] (bfs_undirected) JobQueued: {'identifier': 'bfs_undirected', 'dependencies': OrderedDict()}
[0.000804] (bin_packing_mip) JobQueued: {'identifier': 'bin_packing_mip', 'dependencies': OrderedDict()}
[0.000810] (binpacking_2d_sat) JobQueued: {'identifier': 'binpacking_2d_sat', 'dependencies': OrderedDict()}
[0.000816] (binpacking_problem_sat) JobQueued: {'identifier': 'binpacking_problem_sat', 'dependencies': OrderedDict()}
[0.000891] (bool_or_sample_sat) JobQueued: {'identifier': 'bool_or_sample_sat', 'dependencies': OrderedDict()}
[0.000898] (channeling_sample_sat) JobQueued: {'identifier': 'channeling_sample_sat', 'dependencies': OrderedDict()}
[0.000904] (clone_model_sample_sat) JobQueued: {'identifier': 'clone_model_sample_sat', 'dependencies': OrderedDict()}
[0.000910] (constraint_programming_cp) JobQueued: {'identifier': 'constraint_programming_cp', 'dependencies': OrderedDict()}
[0.000915] (costas_array_sat) JobQueued: {'identifier': 'costas_array_sat', 'dependencies': OrderedDict()}
[0.000921] (course_scheduling) JobQueued: {'identifier': 'course_scheduling', 'dependencies': OrderedDict()}
[0.000927] (course_scheduling_run) JobQueued: {'identifier': 'course_scheduling_run', 'dependencies': OrderedDict()}
[0.000933] (cp_is_fun_cp) JobQueued: {'identifier': 'cp_is_fun_cp', 'dependencies': OrderedDict()}
[0.000939] (cp_is_fun_sat) JobQueued: {'identifier': 'cp_is_fun_sat', 'dependencies': OrderedDict()}
[0.000997] (cp_sat_example) JobQueued: {'identifier': 'cp_sat_example', 'dependencies': OrderedDict()}
[0.001003] (cryptarithm_sat) JobQueued: {'identifier': 'cryptarithm_sat', 'dependencies': OrderedDict()}
[0.001009] (cvrp_disjoint_tw) JobQueued: {'identifier': 'cvrp_disjoint_tw', 'dependencies': OrderedDict()}
[0.001015] (cvrptw) JobQueued: {'identifier': 'cvrptw', 'dependencies': OrderedDict()}
[0.001021] (cvrptw_soft_capacity) JobQueued: {'identifier': 'cvrptw_soft_capacity', 'dependencies': OrderedDict()}
[0.001026] (cvrptw_with_breaks) JobQueued: {'identifier': 'cvrptw_with_breaks', 'dependencies': OrderedDict()}
[0.001032] (cvrptw_with_precedences) JobQueued: {'identifier': 'cvrptw_with_precedences', 'dependencies': OrderedDict()}
[0.001038] (cvrptw_with_refueling) JobQueued: {'identifier': 'cvrptw_with_refueling', 'dependencies': OrderedDict()}
[0.001043] (cvrptw_with_resources) JobQueued: {'identifier': 'cvrptw_with_resources', 'dependencies': OrderedDict()}
[0.004336] (cvrptw_with_stop_times_and_resources) JobQueued: {'identifier': 'cvrptw_with_stop_times_and_resources', 'dependencies': OrderedDict()}
[0.004372] (cvrptw_with_time_dependent_costs) JobQueued: {'identifier': 'cvrptw_with_time_dependent_costs', 'dependencies': OrderedDict()}
[0.004379] (dag_shortest_path_one_to_all) JobQueued: {'identifier': 'dag_shortest_path_one_to_all', 'dependencies': OrderedDict()}
[0.004386] (dag_shortest_path_sequential) JobQueued: {'identifier': 'dag_shortest_path_sequential', 'dependencies': OrderedDict()}
[0.004392] (dag_simple_shortest_path) JobQueued: {'identifier': 'dag_simple_shortest_path', 'dependencies': OrderedDict()}
[0.004398] (dijkstra_all_pairs_shortest_paths) JobQueued: {'identifier': 'dijkstra_all_pairs_shortest_paths', 'dependencies': OrderedDict()}
[0.004403] (dijkstra_directed) JobQueued: {'identifier': 'dijkstra_directed', 'dependencies': OrderedDict()}
[0.004409] (dijkstra_one_to_all) JobQueued: {'identifier': 'dijkstra_one_to_all', 'dependencies': OrderedDict()}
[0.004415] (dijkstra_sequential) JobQueued: {'identifier': 'dijkstra_sequential', 'dependencies': OrderedDict()}
[0.004420] (dijkstra_undirected) JobQueued: {'identifier': 'dijkstra_undirected', 'dependencies': OrderedDict()}
[0.004426] (dimacs_assignment) JobQueued: {'identifier': 'dimacs_assignment', 'dependencies': OrderedDict()}
[0.004432] (dobble_ls) JobQueued: {'identifier': 'dobble_ls', 'dependencies': OrderedDict()}
[0.004437] (earliness_tardiness_cost_sample_sat) JobQueued: {'identifier': 'earliness_tardiness_cost_sample_sat', 'dependencies': OrderedDict()}
[0.004443] (flow_api) JobQueued: {'identifier': 'flow_api', 'dependencies': OrderedDict()}
[0.004449] (frequency_assignment_problem) JobQueued: {'identifier': 'frequency_assignment_problem', 'dependencies': OrderedDict()}
