[0.000000] (-) TimerEvent: {}
[0.000188] (-) JobUnselected: {'identifier': 'assignment_groups_mip'}
[0.000468] (-) JobUnselected: {'identifier': 'assignment_groups_sat'}
[0.000534] (-) JobUnselected: {'identifier': 'assignment_linear_sum_assignment'}
[0.000553] (-) JobUnselected: {'identifier': 'assignment_min_flow'}
[0.000570] (-) JobUnselected: {'identifier': 'assignment_mip'}
[0.000585] (-) JobUnselected: {'identifier': 'assignment_sat'}
[0.000600] (-) JobUnselected: {'identifier': 'assignment_task_sizes_mip'}
[0.000614] (-) JobUnselected: {'identifier': 'assignment_task_sizes_sat'}
[0.000628] (-) JobUnselected: {'identifier': 'assignment_teams_mip'}
[0.000642] (-) JobUnselected: {'identifier': 'assignment_teams_sat'}
[0.000656] (-) JobUnselected: {'identifier': 'assumptions_sample_sat'}
[0.000670] (-) JobUnselected: {'identifier': 'balance_min_flow'}
[0.000684] (-) JobUnselected: {'identifier': 'basic_example'}
[0.000697] (-) JobUnselected: {'identifier': 'bfs_directed'}
[0.000711] (-) JobUnselected: {'identifier': 'bfs_one_to_all'}
[0.000725] (-) JobUnselected: {'identifier': 'bfs_undirected'}
[0.000738] (-) JobUnselected: {'identifier': 'bin_packing_mip'}
[0.000751] (-) JobUnselected: {'identifier': 'binpacking_2d_sat'}
[0.000765] (-) JobUnselected: {'identifier': 'binpacking_problem_sat'}
[0.000783] (-) JobUnselected: {'identifier': 'bool_or_sample_sat'}
[0.000797] (-) JobUnselected: {'identifier': 'channeling_sample_sat'}
[0.000810] (-) JobUnselected: {'identifier': 'clone_model_sample_sat'}
[0.000824] (-) JobUnselected: {'identifier': 'constraint_programming_cp'}
[0.000837] (-) JobUnselected: {'identifier': 'costas_array_sat'}
[0.000850] (-) JobUnselected: {'identifier': 'course_scheduling'}
[0.000864] (-) JobUnselected: {'identifier': 'course_scheduling_run'}
[0.000877] (-) JobUnselected: {'identifier': 'cp_is_fun_cp'}
[0.000891] (-) JobUnselected: {'identifier': 'cp_is_fun_sat'}
[0.000904] (-) JobUnselected: {'identifier': 'cp_sat_example'}
[0.000917] (-) JobUnselected: {'identifier': 'cryptarithm_sat'}
[0.000931] (-) JobUnselected: {'identifier': 'cvrp_disjoint_tw'}
[0.000944] (-) JobUnselected: {'identifier': 'cvrptw'}
[0.000957] (-) JobUnselected: {'identifier': 'cvrptw_soft_capacity'}
[0.000970] (-) JobUnselected: {'identifier': 'cvrptw_with_breaks'}
[0.000983] (-) JobUnselected: {'identifier': 'cvrptw_with_precedences'}
[0.000997] (-) JobUnselected: {'identifier': 'cvrptw_with_refueling'}
